time,cuti
2010-11-15T00:00:00Z,0.47
2010-12-15T00:00:00Z,0.206
2011-01-15T00:00:00Z,-0.069
2011-02-15T00:00:00Z,0.235
2011-03-15T00:00:00Z,0.443
2011-04-15T00:00:00Z,0.761
2011-05-15T00:00:00Z,0.914
2011-06-15T00:00:00Z,0.504
2011-07-15T00:00:00Z,0.564
2011-08-15T00:00:00Z,0.576
2011-09-15T00:00:00Z,0.324
2011-10-15T00:00:00Z,0.317
2011-11-15T00:00:00Z,0.183
2011-12-15T00:00:00Z,0.243
2012-01-15T00:00:00Z,0.306
2012-02-15T00:00:00Z,0.59
2012-03-15T00:00:00Z,0.517
2012-04-15T00:00:00Z,0.362
2012-05-15T00:00:00Z,0.678
2012-06-15T00:00:00Z,0.604
2012-07-15T00:00:00Z,0.458
2012-08-15T00:00:00Z,0.337
2012-09-15T00:00:00Z,0.406
2012-10-15T00:00:00Z,0.466
2012-11-15T00:00:00Z,0.223
2012-12-15T00:00:00Z,0.303
2013-01-15T00:00:00Z,0.44
2013-02-15T00:00:00Z,0.538
2013-03-15T00:00:00Z,0.294
2013-04-15T00:00:00Z,0.719
2013-05-15T00:00:00Z,0.598
2013-06-15T00:00:00Z,0.482
2013-07-15T00:00:00Z,0.434
2013-08-15T00:00:00Z,0.619
2013-09-15T00:00:00Z,0.477
2013-10-15T00:00:00Z,0.248
2013-11-15T00:00:00Z,0.16
2013-12-15T00:00:00Z,0.26
2014-01-15T00:00:00Z,0.096
2014-02-15T00:00:00Z,0.248
2014-03-15T00:00:00Z,0.308
2014-04-15T00:00:00Z,0.564
2014-05-15T00:00:00Z,0.64
2014-06-15T00:00:00Z,0.454
2014-07-15T00:00:00Z,0.301
2014-08-15T00:00:00Z,0.349
2014-09-15T00:00:00Z,0.522
2014-10-15T00:00:00Z,0.185
2014-11-15T00:00:00Z,0.204
2014-12-15T00:00:00Z,0.174
2015-01-15T00:00:00Z,0.048
2015-02-15T00:00:00Z,0.105
2015-03-15T00:00:00Z,0.13
2015-04-15T00:00:00Z,0.454
2015-05-15T00:00:00Z,0.694
2015-06-15T00:00:00Z,0.48
2015-07-15T00:00:00Z,0.472
2015-08-15T00:00:00Z,0.543
2015-09-15T00:00:00Z,0.281
2015-10-15T00:00:00Z,0.335
2015-11-15T00:00:00Z,0.464
