stock_code,stock_country,stock_region,cyer_stock,stock_jurisdiction,fishery_type_2,age,brood_year,year,ocean_cohort
ATN,CA,CBC,Y,BC,Pre-Terminal,4,2014,2018,1494.613
ATN,CA,CBC,Y,BC,Pre-Terminal,5,2014,2019,382.5193
ATN,CA,CBC,Y,BC,Pre-Terminal,2,2015,2017,4551.247
ATN,CA,CBC,Y,BC,Pre-Terminal,3,2015,2018,3171.519
ATN,CA,CBC,Y,BC,Pre-Terminal,4,2015,2019,2016.81
ATN,CA,CBC,Y,BC,Pre-Terminal,5,2015,2020,568.216
ATN,CA,CBC,Y,BC,Pre-Terminal,2,2016,2018,3477.765
ATN,CA,CBC,Y,BC,Pre-Terminal,3,2016,2019,2417.193
ATN,CA,CBC,Y,BC,Pre-Terminal,4,2016,2020,1615.011
ATN,CA,CBC,Y,BC,Pre-Terminal,5,2016,2021,430.6913
ATN,CA,CBC,Y,BC,Pre-Terminal,2,2017,2019,4780.547
ATN,CA,CBC,Y,BC,Pre-Terminal,3,2017,2020,3324.155
ATN,CA,CBC,Y,BC,Pre-Terminal,4,2017,2021,1966.722
ATN,CA,CBC,Y,BC,Pre-Terminal,2,2018,2020,2428.129
ATN,CA,CBC,Y,BC,Pre-Terminal,3,2018,2021,1681.517
ATN,CA,CBC,Y,BC,Pre-Terminal,2,2019,2021,2059.491
BQR,CA,ECVI,N,BC,Pre-Terminal,2,1974,1976,15470.65
BQR,CA,ECVI,N,BC,Pre-Terminal,3,1974,1977,6820.304
BQR,CA,ECVI,N,BC,Pre-Terminal,4,1974,1978,1828.524
BQR,CA,ECVI,N,BC,Pre-Terminal,5,1974,1979,79.26827
BQR,CA,ECVI,N,BC,Pre-Terminal,2,1975,1977,5374.631
BQR,CA,ECVI,N,BC,Pre-Terminal,3,1975,1978,2755.509
BQR,CA,ECVI,N,BC,Pre-Terminal,4,1975,1979,759.9733
BQR,CA,ECVI,N,BC,Pre-Terminal,5,1975,1980,21.03252
BQR,CA,ECVI,N,BC,Pre-Terminal,2,1976,1978,12489.25
BQR,CA,ECVI,N,BC,Pre-Terminal,3,1976,1979,5844.91
BQR,CA,ECVI,N,BC,Pre-Terminal,4,1976,1980,1462.585
BQR,CA,ECVI,N,BC,Pre-Terminal,5,1976,1981,37.34495
BQR,CA,ECVI,N,BC,Pre-Terminal,2,1977,1979,3512.571
BQR,CA,ECVI,N,BC,Pre-Terminal,3,1977,1980,1873.148
BQR,CA,ECVI,N,BC,Pre-Terminal,4,1977,1981,518.0378
BQR,CA,ECVI,N,BC,Pre-Terminal,5,1977,1982,18.3253
BQR,CA,ECVI,N,BC,Pre-Terminal,2,1978,1980,2681.691
BQR,CA,ECVI,N,BC,Pre-Terminal,3,1978,1981,1432.083
BQR,CA,ECVI,N,BC,Pre-Terminal,4,1978,1982,404.6447
BQR,CA,ECVI,N,BC,Pre-Terminal,5,1978,1983,24.41704
BQR,CA,ECVI,N,BC,Pre-Terminal,2,1979,1981,1314.63
BQR,CA,ECVI,N,BC,Pre-Terminal,3,1979,1982,662.9811
BQR,CA,ECVI,N,BC,Pre-Terminal,4,1979,1983,257.5299
BQR,CA,ECVI,N,BC,Pre-Terminal,5,1979,1984,8.011911
BQR,CA,ECVI,N,BC,Pre-Terminal,2,1980,1982,595.5259
BQR,CA,ECVI,N,BC,Pre-Terminal,3,1980,1983,313.3567
BQR,CA,ECVI,N,BC,Pre-Terminal,4,1980,1984,91.30712
BQR,CA,ECVI,N,BC,Pre-Terminal,5,1980,1985,2.01768
BQR,CA,ECVI,N,BC,Pre-Terminal,2,1981,1983,1144.383
BQR,CA,ECVI,N,BC,Pre-Terminal,3,1981,1984,537.6332
BQR,CA,ECVI,N,BC,Pre-Terminal,4,1981,1985,174.4641
BQR,CA,ECVI,N,BC,Pre-Terminal,5,1981,1986,12.03241
BQR,CA,ECVI,N,BC,Pre-Terminal,2,1982,1984,1383.748
BQR,CA,ECVI,N,BC,Pre-Terminal,3,1982,1985,764.1865
BQR,CA,ECVI,N,BC,Pre-Terminal,4,1982,1986,325.2861
BQR,CA,ECVI,N,BC,Pre-Terminal,5,1982,1987,35.4851
BQR,CA,ECVI,N,BC,Pre-Terminal,2,1983,1985,3170.438
BQR,CA,ECVI,N,BC,Pre-Terminal,3,1983,1986,1842.266
BQR,CA,ECVI,N,BC,Pre-Terminal,4,1983,1987,582.6157
BQR,CA,ECVI,N,BC,Pre-Terminal,5,1983,1988,15.079
BQR,CA,ECVI,N,BC,Pre-Terminal,2,1984,1986,608.0782
BQR,CA,ECVI,N,BC,Pre-Terminal,3,1984,1987,366.0596
BQR,CA,ECVI,N,BC,Pre-Terminal,4,1984,1988,156.6115
BQR,CA,ECVI,N,BC,Pre-Terminal,5,1984,1989,12.04186
BQR,CA,ECVI,N,BC,Pre-Terminal,2,1985,1987,529.7866
BQR,CA,ECVI,N,BC,Pre-Terminal,3,1985,1988,327.1619
BQR,CA,ECVI,N,BC,Pre-Terminal,4,1985,1989,128.7497
BQR,CA,ECVI,N,BC,Pre-Terminal,5,1985,1990,10.22676
