"","stock_code","brood_year","age","Mat.Rate","Marine.Survival","Stock.Country","stock_name","area","ecoregion","RunType","Hatchery","Age","Wild","Code","Code2","calendar_year","season","location","sst_winter","sst_spring","CUTI_winter","CUTI_spring","seasonal_STI","Beuti_winter","Beuti_spring","BI","stand_BI"
"30","ATN",2017,2,0,0.019107768,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,2018,"Summer/Fall","45N",0.559128763324464,1.43758205024297,0.206618701560917,-0.600666960546358,-0.216959106849132,0.570597866745797,-0.427618720396751,0.762790698,1.77973716702548
"31","ATN",2018,2,3e-04,0.00990396,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,2019,"Summer/Fall","45N",0.668499282509399,0.927742852150524,0.524192037925895,0.576939278351012,-0.216959106849132,0.648238464267205,0.685313540721754,0.846511628,2.28881067935638
"32","ATN",2019,2,0.0146,0.008508486,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,2020,"Summer/Fall","45N",-0.394565503250554,1.11559835776812,-0.433820860108453,-0.630292274732455,1.03219938713072,-0.180019846058864,-0.0124926667794073,0.744186047,1.66660972051645
"33","BQR",1974,2,0.0418,0.251423449,"CA","Big Qualicum River Fall","Strait of Georgia",2,"Fall","Big Qualicum","Age 0","Hatchery",2,16,1975,"Fall","45N",-0.939388184476981,-1.04411262802686,NA,NA,-1.299563134965,NA,NA,0.613953488,0.874717582792085
"34","BQR",1975,2,0.0363,0.093498485,"CA","Big Qualicum River Fall","Strait of Georgia",2,"Fall","Big Qualicum","Age 0","Hatchery",2,16,1976,"Fall","45N",-1.32123877872852,-0.975107603761456,NA,NA,-0.508429422111098,NA,NA,0.525581395,0.337362207313771
"35","BQR",1976,2,0.0564,0.206208487,"CA","Big Qualicum River Fall","Strait of Georgia",2,"Fall","Big Qualicum","Age 0","Hatchery",2,16,1977,"Fall","45N",0.841848344811929,-0.0870075620725758,NA,NA,-1.63267206669296,NA,NA,0.381395349,-0.539375507691614
"36","BQR",1977,2,0.043,0.038175082,"CA","Big Qualicum River Fall","Strait of Georgia",2,"Fall","Big Qualicum","Age 0","Hatchery",2,16,1978,"Fall","45N",0.613506580773079,1.05693252716998,NA,NA,-0.716622504441073,NA,NA,0.437209302,-0.199993168164542
"37","BQR",1978,2,0.025,0.020545686,"CA","Big Qualicum River Fall","Strait of Georgia",2,"Fall","Big Qualicum","Age 0","Hatchery",2,16,1979,"Fall","45N",-1.60739328422688,0.123418503812295,NA,NA,0.615813222470769,NA,NA,0.586046512,0.70502641606885
"38","BQR",1979,2,0.034,0.008875017,"CA","Big Qualicum River Fall","Strait of Georgia",2,"Fall","Big Qualicum","Age 0","Hatchery",2,16,1980,"Fall","45N",0.138264750280157,0.463156711752558,NA,NA,-0.133681873917142,NA,NA,0.386046512,-0.511093644544208
"39","BQR",1980,2,0.0491,0.008258661,"CA","Big Qualicum River Fall","Strait of Georgia",2,"Fall","Big Qualicum","Age 0","Hatchery",2,16,1981,"Fall","45N",1.00392752627082,0.435744926545203,NA,NA,2.53118957990654,NA,NA,0.311627907,-0.963603436660904
"40","BQR",1981,2,0.0533,0.018614507,"CA","Big Qualicum River Fall","Strait of Georgia",2,"Fall","Big Qualicum","Age 0","Hatchery",2,16,1982,"Fall","45N",-0.863453186835536,-0.698601987852723,NA,NA,-0.258597723315128,NA,NA,0.669767442,1.21409992839976
"41","BQR",1982,2,0.0426,0.029859714,"CA","Big Qualicum River Fall","Strait of Georgia",2,"Fall","Big Qualicum","Age 0","Hatchery",2,16,1983,"Fall","45N",0.874905634148351,1.51802664021625,NA,NA,0.615813222470769,NA,NA,0.213953488,-1.55752253843403
"42","BQR",1983,2,0.0353,0.02632434,"CA","Big Qualicum River Fall","Strait of Georgia",2,"Fall","Big Qualicum","Age 0","Hatchery",2,16,1984,"Fall","45N",0.264271833648903,-0.169857084157089,NA,NA,1.40694693532468,NA,NA,0.186046512,-1.72721370515727
"43","BQR",1984,2,0.0224,0.004213143,"CA","Big Qualicum River Fall","Strait of Georgia",2,"Fall","Big Qualicum","Age 0","Hatchery",2,16,1985,"Fall","45N",-0.725451620161248,-0.0679162101775377,NA,NA,0.449258756606789,NA,NA,0.730232558,1.58176413107423
